Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
206043;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
208180;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
210466;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
211116;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
211291;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
212038;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
212469;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
214853;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
215539;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
215771;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
216142;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
216165;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
218546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
219687;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
219914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
220350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
221727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
221787;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
221835;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
223953;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
223989;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
224700;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
230061;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
232730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
233911;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
234347;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
234751;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
234800;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
235117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
235237;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
235585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
