Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
47297;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47559;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47838;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48204;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48233;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48314;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48583;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
48684;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48798;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48989;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49215;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49287;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49477;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49918;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49961;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50049;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50168;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50549;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50628;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
50629;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50767;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50805;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
50997;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51427;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51533;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51667;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51717;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51756;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51764;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
51796;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
51846;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52185;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52329;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52502;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52761;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
52835;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53029;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
53696;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54411;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54789;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55128;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55297;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55316;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
55600;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55663;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55750;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55858;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
55897;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56317;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
56640;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
56720;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57002;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57316;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57802;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
57951;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58256;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58765;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59002;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59042;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59199;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59472;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59532;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
59576;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
59854;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60135;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60230;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60666;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60848;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60924;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60928;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60934;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61126;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61877;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62101;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
62105;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62485;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62590;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62963;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
